[1.0, 1.0]
[0.9826386073293505, 1.01766813611958]
[0.9718760592730887, 1.0289377852850357]
[0.966426119967288, 1.0347402448454606]
[0.9594709756909829, 1.042241011282107]
[0.9521656396525215, 1.050237435962229]
[0.9431294977099789, 1.0602997811309145]
[0.9317246571950979, 1.0732784543992224]
[0.9229777274227104, 1.0834497629670476]
[0.9138491281880763, 1.0942725326911875]
[0.9096263864224007, 1.099352453849808]
[0.8975659292026414, 1.1141242859879459]
[0.8949260060487945, 1.1174108174765418]
[0.8883676046274932, 1.1256601375275452]
[0.8810290146590132, 1.1350363987581413]
[0.874208110801729, 1.1454248279508048]
[0.8685324865022294, 1.1513674105930327]
[0.8612074950641886, 1.1611603541902138]
[0.8583149015157719, 1.165073562434969]
[0.8541819641182127, 1.1707107408107333]
[0.8490253310745618, 1.1778211596282508]
[0.8387136391349312, 1.1923020603688086]
[0.8345323515087808, 1.1982758945079413]
[0.8288050089000437, 1.2065564146712378]
[0.8178013442445822, 1.22279084894843]
[0.8112470284743316, 1.2326701545898366]
[0.806144109228454, 1.2404729980066243]
[0.8028437047895223, 1.2455724495743106]
[0.7982904454886423, 1.2526768993056019]
[0.7914823334806116, 1.2634520793438484]
[0.786072302451437, 1.272147608917666]
[0.776900205864266, 1.287166604477271]
[0.7729062970039979, 1.2938178973004633]
[0.7667678634633522, 1.304175680346305]
[0.7619272378189167, 1.3124612828681481]
[0.7567832878530744, 1.3213822451562183]
[0.7504092626761207, 1.3326061520533277]
[0.7452692959249664, 1.3417968584884246]
[0.7425896554493988, 1.3521033321710545]
[0.7360380757476161, 1.358625365928617]
[0.7311601686427338, 1.3676893831023627]
[0.7268418374701303, 1.3758151339782985]
[0.7214777362676991, 1.3860441559473946]
[0.7206006388180951, 1.38986396655708]
[0.7148376313409289, 1.4023813074977134]
[0.7091462972397253, 1.4101462616280886]
[0.7014828901221625, 1.425551519618463]
[0.6971400803652368, 1.4344319429691845]
[0.6917832055920492, 1.4455395735491576]
[0.6864885499793992, 1.4566885347614449]
[0.6817296117881849, 1.4668572153951007]
[0.6770613877267204, 1.4769709484653495]
[0.6760056630688402, 1.4792775484458718]
[0.6718246133342172, 1.4884837205309762]
[0.6631917249124255, 1.5078595863542328]
[0.6597336777377248, 1.5157631537457257]
[0.6567001496965602, 1.522764994742376]
[0.6552425250611279, 1.5261524729438303]
[0.6519465057598064, 1.5338681796208988]
[0.6488576342698781, 1.5411701229734964]
[0.6438510047034476, 1.5531543675397255]
[0.6429791055623253, 1.5552604919026687]
[0.6392071563255755, 1.5644380543991554]
[0.638988831671839, 1.564972579228995]
[0.6371670995476637, 1.575978908026687]
[0.6305470498280492, 1.585924476647224]
[0.6290560999658694, 1.58968333675527]
[0.6266143708200133, 1.5958778581655557]
[0.623952437923984, 1.6026862613554365]
[0.6207520305106591, 1.6109492210236576]
[0.6187886770568048, 1.6160605988402725]
[0.6152382076445754, 1.6253866999393225]
[0.6141161744157764, 1.6283563951907378]
[0.6114874731688891, 1.635356477243494]
[0.6098991496922327, 1.63961533723177]
[0.6052784788748179, 1.6521320927500172]
[0.6020651136270608, 1.6609499161571306]
[0.6014730306696262, 1.6625849356648452]
[0.5983638129681429, 1.6712240585532205]
[0.5971727804287243, 1.6753318858809523]
[0.5948567043155268, 1.6810771278952839]
[0.590168537058339, 1.6944312297372581]
[0.5858047979355875, 1.7070532770029576]
[0.5825351348684308, 1.7166346545360844]
[0.579551270288731, 1.7254728809442563]
[0.5766045839175046, 1.7342907564242864]
[0.5741525606338556, 1.7425736456227476]
[0.57008879702771, 1.7541127017645877]
[0.5671947940061749, 1.7630627265403167]
[0.563984153902522, 1.7730994622463068]
[0.5623384428934465, 1.7782885247087454]
[0.5556046550743988, 1.7998409316172737]
[0.5533056327517849, 1.8073193924064097]
[0.5486027729750398, 1.822812514375493]
[0.5440230686713263, 1.8381573458682758]
[0.5418602835701654, 1.8454941805501606]
[0.5386390809441907, 1.8565307185789064]
[0.5372671992206093, 1.8612712658629775]
[0.5346297515200724, 1.8704533317810605]
[0.5317137083124369, 1.8807113383888843]
[0.5293561687774879, 1.8890872705033965]
[0.5277598728007099, 1.8948011236496851]
[0.5261495863362278, 1.9006001828555377]
[0.5237085660746714, 1.9094589334202678]
[0.5232084802722676, 1.9112840057172225]
[0.5194389320034701, 1.92515411993285]
[0.517582461814464, 1.9320592828712704]
[0.5154101605537443, 1.940202340841756]
[0.5133677982556988, 1.9479211656784108]
[0.5129869845843046, 1.949367196538803]
[0.5106555317581557, 1.9582672424149823]
[0.5092021425150736, 1.9638566229528338]
[0.5081129939559766, 1.9680661819222063]
[0.5055806131569764, 1.9779239432377376]
[0.5016455786983659, 1.9934392775766678]
[0.4976962669906356, 2.0092575860506012]
[0.49420586742629335, 2.023448254889733]
[0.49205128599683223, 2.0323084777110774]
[0.4898299621560267, 2.0415247683061652]
[0.4875146180777613, 2.05122054379197]
[0.48494472726590415, 2.0620906750300256]
[0.48450987842101684, 2.0639414066415505]
[0.4813146305801953, 2.077643056049556]
[0.47925769218194475, 2.0865601456436536]
[0.47794698258113655, 2.0922822749074252]
[0.476039821338323, 2.1006645981603644]
[0.47428993021746524, 2.108414993212049]
[0.4730135871562343, 2.1141041761866015]
[0.47162254206420484, 2.120339701370474]
[0.4683071152341208, 2.135350857310955]
[0.4666667880466442, 2.1428565855002484]
[0.46582554586546676, 2.146726406217331]
[0.46280641295563985, 2.160730646780926]
[0.461771595121686, 2.16557278655583]
[0.4608175834859504, 2.1700560825723967]
[0.45809808680786296, 2.1829386081226385]
[0.4567783499765027, 2.189245615628327]
[0.4560092065272413, 2.192938181260736]
[0.45435008672955507, 2.2009459868227883]
[0.4524535135358012, 2.210171807895295]
[0.4510743910687311, 2.216929224535888]
[0.45031445448786017, 2.2220708250010435]
[0.44888371910620023, 2.227748428905288]
[0.44742155103773773, 2.235028683085619]
[0.44407272696844863, 2.2518833949265478]
[0.44179657316754145, 2.263485189190846]
[0.4399995128865088, 2.272729788812141]
[0.438140333377446, 2.2823737597755627]
[0.43657547671235636, 2.290554676892361]
[0.4361057664964935, 2.2930217319381407]
[0.43327848713663164, 2.3079844250025188]
[0.431418687247007, 2.3179338993896064]
[0.43044081866280076, 2.3231997446398807]
[0.4291568045440222, 2.3301506335487256]
[0.42712778508089233, 2.3412197354724027]
[0.423751156719125, 2.359875564098649]
[0.4219866681290372, 2.3697431116336003]
[0.4206849136569801, 2.3770759719122814]
[0.4197175202383408, 2.3825548178978564]
[0.41816391941633774, 2.3914067033707114]
[0.41536809290046356, 2.407503169097859]
[0.4135853324726463, 2.4178807164689236]
[0.41218514932367256, 2.4260941997566725]
[0.41196652941999723, 2.427381664738366]
[0.41042735324199425, 2.4364847812918176]
[0.40865543471906307, 2.447049311083961]
